Geneid	SRR14612091_myofibroblast_male
ENSSSCG00000004812	2644
ENSSSCG00000004813	60
ENSSSCG00000004814	706
ENSSSCG00000004815	1213
ENSSSCG00000004816	16
ENSSSCG00000018345	0
ENSSSCG00000004817	46
ENSSSCG00000004818	18
ENSSSCG00000019757	0
ENSSSCG00000004819	0
ENSSSCG00000004820	80
ENSSSCG00000004821	78
ENSSSCG00000004822	511
ENSSSCG00000019106	0
ENSSSCG00000018227	0
ENSSSCG00000004823	452
ENSSSCG00000004824	319
ENSSSCG00000004825	3002
ENSSSCG00000004826	935
ENSSSCG00000018906	0
ENSSSCG00000019280	0
ENSSSCG00000018975	0
ENSSSCG00000004827	0
ENSSSCG00000004828	0
ENSSSCG00000004829	38
ENSSSCG00000004830	2430
ENSSSCG00000004831	6
ENSSSCG00000004832	1011
ENSSSCG00000019388	0
ENSSSCG00000019409	0
ENSSSCG00000019878	0
ENSSSCG00000019155	0
ENSSSCG00000020399	0
ENSSSCG00000018361	0
ENSSSCG00000019818	0
ENSSSCG00000018174	0
ENSSSCG00000018351	0
ENSSSCG00000020442	0
ENSSSCG00000020119	0
ENSSSCG00000018141	0
ENSSSCG00000004833	503
ENSSSCG00000019192	0
ENSSSCG00000004834	314
ENSSSCG00000004835	58
ENSSSCG00000004836	7
ENSSSCG00000004838	46
ENSSSCG00000004839	0
ENSSSCG00000019568	0
ENSSSCG00000004840	0
ENSSSCG00000004841	37
ENSSSCG00000004842	327
ENSSSCG00000004843	0
ENSSSCG00000019509	0
ENSSSCG00000004844	728
ENSSSCG00000004845	278
ENSSSCG00000004846	95
ENSSSCG00000004847	160
ENSSSCG00000004848	80
ENSSSCG00000004849	0
ENSSSCG00000004850	0
ENSSSCG00000004851	0
ENSSSCG00000004852	80
ENSSSCG00000004853	352
ENSSSCG00000004854	2325
ENSSSCG00000004855	208
ENSSSCG00000004856	103
ENSSSCG00000004857	91
ENSSSCG00000004858	237
ENSSSCG00000004859	237
ENSSSCG00000019804	0
